timestamp_ms,phone_roll,phone_pitch,phone_yaw,phone_accelX,phone_accelY,phone_accelZ,phone_gyroX_rad,phone_gyroY_rad,phone_gyroZ_rad,esp32_roll,esp32_pitch,esp32_yaw,esp32_accelX,esp32_accelY,esp32_accelZ,esp32_gyroX_deg,esp32_gyroY_deg,esp32_gyroZ_deg,esp32_gyroX_rad,esp32_gyroY_rad,esp32_gyroZ_rad,esp32_qw,esp32_qx,esp32_qy,esp32_qz,esp32_quatNorm,diff_roll,diff_pitch,diff_yaw,diff_accelX,diff_accelY,diff_accelZ,diff_gyroX_rad,diff_gyroY_rad,diff_gyroZ_rad,phone_qw,phone_qx,phone_qy,phone_qz,diff_quat_angle_deg
1773306588799,-1.55,18.950000000000003,36.6,0.1,3.2250000000000005,9.325,-0.005235987755982992,-0.006981317007977317,0.030106929596902185,-1.8125,17.1875,108.1875,0.03999999910593033,3.069999933242798,9.5,0.010908307507634163,0.04254240170121193,-0.018544122576713562,0.00019038588182823261,0.0007425049813921851,-0.0003236559958570664,-0.57989501953125,0.10125732421875,0.11163330078125,-0.8006591796875,1.0000241973303783,-0.26249999999999996,-1.7625000000000028,71.5875,-0.06000000089406968,-0.15500006675720268,0.1750000000000007,0.005426373637811224,0.007723821989369502,-0.03043058559275925,0.9370864289066627,0.1604665932961645,0.30756650370306376,0.03901721408243697,116.78893295995215
1773306588909,-1.4666666666666668,19.233333333333334,36.63333333333333,0.2285714285714286,3.3714285714285714,9.257142857142856,0.028423933532479077,0.04288523304900352,0.08951045735228061,-1.8125,17.4375,108.25,0.25,3.1700000762939453,9.25,-0.09381144493818283,-0.039269909262657166,0.01636246219277382,-0.0016373185902246587,-0.0006853892135927863,0.00028557883899699426,-0.57928466796875,0.10247802734375,0.113525390625,-0.8006591796875,1.0000078044527205,-0.3458333333333332,-1.7958333333333343,71.61666666666667,0.021428571428571408,-0.20142849513462613,-0.007142857142856229,-0.030061252122703736,-0.0435706222625963,-0.08922487851328362,0.9365888413625578,0.16254426178709802,0.3077972050275941,0.04051648766157081,116.87996237503928
1773306589009,-1.2,20.100000000000005,37,0.2833333333333334,3.4,9.250000000000002,0.06137741202846726,0.04625122517784974,0.1899500002587162,-1.75,18,108.625,0.4699999988079071,3.009999990463257,9.510000228881836,-0.16798794269561768,-0.08290313929319382,0.06981316953897476,-0.002931942703690087,-0.0014469327409057167,0.0012184696697081214,-0.57647705078125,0.1043701171875,0.1181640625,-0.8017578125,0.9999986235042874,-0.55,-2.100000000000005,71.625,0.18666666547457372,-0.3900000095367431,0.26000022888183416,-0.06430935473215735,-0.04769815791875546,-0.18873153058900807,0.9343010714574796,0.1687522948621781,0.310685780937395,0.04559074879265474,117.2239434523116
1773306589109,-1.24,20.860000000000003,37.260000000000005,0.19999999999999998,3.5999999999999996,9.25,-0.006981317007977319,0.010471975511965976,0.1355539052382263,-1.5625,18.9375,108.875,0.38999998569488525,3.190000057220459,9.260000228881836,-0.09053895622491837,0.06763150542974472,0.03272492438554764,-0.0015802028874438412,0.001180392447829468,0.0005711576779939885,-0.57373046875,0.107421875,0.12591552734375,-0.8021240234375,0.999981889337216,-0.3225,-1.922500000000003,71.615,0.18999998569488527,-0.40999994277954066,0.010000228881835938,0.0054011141205334776,-0.009291583064136508,-0.13498274756023232,0.9325151151517649,0.1749377734477299,0.312302406184531,0.04774455493554999,117.9792176031368
1773306589209,-1.2200000000000002,21.900000000000002,37.38,0.03333333333333333,3.9,9.316666666666668,0.025889050571249222,0.0590503063591415,0.24463698348787183,-1.5625,19.75,108.9375,0.10999999940395355,3.5,9.4399995803833,-0.19634954631328583,-0.018544122576713562,0.0021816615480929613,-0.003426946067963931,-0.0003236559958570664,0.000038077177178378795,-0.57275390625,0.11138916015625,0.13177490234375,-0.80133056640625,0.9999749415208437,-0.3424999999999998,-2.150000000000002,71.5575,0.07666666607062023,-0.3999999999999999,0.12333291371663258,-0.02931599663921315,-0.05937396235499857,-0.24459890631069345,0.9306149804547225,0.18327466246100016,0.31267990111428506,0.050965043826371265,118.37436091060673
1773306589309,-1.2166666666666668,23.25,37.800000000000004,-0.033333333333333326,4.483333333333333,9.383333333333335,-0.05992297098513865,0.18442312429406751,0.3324852225049198,-1.5,21.5625,109.375,-0.2199999988079071,4.230000019073486,9.40999984741211,-0.31525009870529175,0.046905722469091415,0.07744898647069931,-0.005502152189644454,0.0008186592951123293,0.0013517398162462457,-0.5675048828125,0.12091064453125,0.14569091796875,-0.80133056640625,1.000018847928643,-0.2833333333333332,-1.6875,71.57499999999999,-0.18666666547457378,-0.25333331425984706,0.02666651407877474,0.054420818795494194,-0.1836044649989552,-0.33113348268867354,0.9273194726963198,0.19399904749104008,0.31523107327741356,0.05542865297983317,119.82895054931494
1773306589409,-1.9500000000000002,25.933333333333337,39.45,0.3666666666666667,4.616666666666667,9.350000000000001,-0.024143721319254897,0.3679735839621378,0.5794493116621173,-2.375,23.8125,110.75,0.27000001072883606,4.360000133514404,9.460000038146973,-0.6032294034957886,-0.021816615015268326,0.30543261766433716,-0.010528339235842902,-0.00038077176365646523,0.005330804821227676,-0.55621337890625,0.1351318359375,0.1575927734375,-0.8046875,0.9999956954177954,-0.4249999999999998,-2.120833333333337,71.3,-0.09666665593783064,-0.25666653315226284,0.11000003814697124,0.013615382083411995,-0.3683543557257943,-0.5741185068408896,0.9184761846168202,0.21678406971189546,0.32525814171707695,0.060110786533124703,122.80071513838244
1773306589509,-3.3666666666666667,28.833333333333332,41.933333333333344,0.85,4.516666666666667,8.700000000000001,-0.05555964785515283,0.31386837715031357,0.7147123286916779,-3.375,26.8125,112.75,1.159999966621399,4.010000228881836,9.119999885559082,-0.7123125195503235,0.06435901671648026,0.36106500029563904,-0.012432198769329623,0.0011232767450486503,0.006301773068873201,-0.538818359375,0.15411376953125,0.1759033203125,-0.809326171875,1.0000135543768904,-0.008333333333333304,-2.020833333333332,70.81666666666666,0.30999996662139895,-0.5066664377848307,0.41999988555908097,0.04312744908582321,-0.31274510040526493,-0.7084105556228046,0.9066111978236773,0.24256685826969748,0.3395781584714589,0.062483034009388615,127.54300216088723
1773306589609,-5.033333333333333,31.416666666666668,44.383333333333326,0.7833333333333333,5.033333333333334,8.166666666666666,0.0445058959258554,0.37699111843077526,0.730420291959627,-4.5,30.8125,114.5,0.7099999785423279,4.730000019073486,8.350000381469727,-0.675224244594574,0.09272061288356781,0.37088245153427124,-0.011784886257466841,0.001618279979285332,0.006473119917141328,-0.5213623046875,0.17816162109375,0.20074462890625,-0.80999755859375,0.9999773332142874,0.5333333333333332,-0.6041666666666679,70.11666666666667,-0.07333335479100545,-0.3033333142598478,0.1833337148030605,-0.056290782183322244,-0.37537283845148994,-0.7239471720424857,0.8949749549543862,0.2664093777718244,0.3522414004487135,0.06302276770781327,132.9086507511356
1773306589709,-5.866666666666667,35.13333333333334,47.26666666666667,0.9833333333333334,5.516666666666667,7.75,0.3909537524467299,0.23823744289722598,1.103338975469082,-5.25,34.3125,116.75,0.9399999976158142,4.980000019073486,8.140000343322754,-1.0330168008804321,-0.3130684196949005,0.3490658402442932,-0.0180295444037822,-0.005464074707691475,0.006092348218503444,-0.50067138671875,0.19512939453125,0.225341796875,-0.81268310546875,0.9999900366614627,0.6166666666666671,-0.82083333333334,69.48333333333332,-0.043333335717519184,-0.5366666475931803,0.3900003433227539,-0.4089832968505121,-0.24370151760491746,-1.0972466272505788,0.8784545330628704,0.29569770881530244,0.3675370558159944,0.07613810442075471,137.6555677636992
