feature,importance
filteredZ_rms,0.13712387927385306
accelZ_energy,0.10098901198178024
gyroY_jerk_rms,0.09466348794092905
avg_sample_rate,0.0731409400552388
accelZ_p25,0.0697311511964449
gyroY_range,0.04726320751231356
filteredZ_range,0.0398969749184478
accelZ_peak_value,0.037832689681453265
gyroY_energy,0.026564554858613476
filteredMag_max,0.01864160363341264
filteredMag_iqr,0.018512608945451956
accelMag_diff_std,0.01644220639246111
accelMag_min,0.016121956248848462
rep_duration_ms,0.015176119138980872
filteredMag_range,0.014479658520293696
filteredY_range,0.012296272882584992
accelZ_iqr,0.011856805651630518
filteredMag_p25,0.01141577714711737
gyroX_energy,0.011343944935827528
accelY_max,0.010382639584824908
filteredY_iqr,0.010377981284519458
gyroY_p25,0.010088296183217754
accelMag_skew,0.009873970861743318
filteredMag_kurtosis,0.009449767494837375
gyroY_iqr,0.009297642508134684
filteredMag_min,0.009140275572124506
accelX_smoothness,0.008871777295611862
filteredMag_rms,0.008272886797195423
filteredMag_median,0.008046434499573395
accelX_diff_std,0.007985416240207143
filteredX_range,0.007956132771371471
accelZ_range,0.007325690361485244
gyroZ_energy,0.007178817627306951
accelY_diff_max,0.006938859098157987
gyroX_iqr,0.0068422456222319
filteredMag_skew,0.006448975103639873
accelMag_jerk_max,0.0063220451564906495
filteredMag_p75,0.005995694684773687
accelMag_rms,0.005800196714725547
accelY_energy,0.005310443290553051
accelMag_p75,0.004742756908452581
filteredY_jerk_mean,0.004477563898535675
accelY_kurtosis,0.004131668204744522
filteredY_kurtosis,0.0040526880317190515
gyroZ_diff_std,0.0039041349611184293
accelX_p25,0.003694086610399586
accelY_skew,0.0033785435668506705
accelY_p75,0.003201698854510857
gyroY_p75,0.0029149376670901867
gyroX_max,0.002729822648026461
accelY_min,0.002721492556365972
accelMag_range,0.002720926624399237
filteredY_skew,0.002592791645202603
accelY_std,0.0025924343278315278
gyroZ_max,0.0025920978481305977
accelMag_max,0.002007359598529268
accelX_peak_position,0.001969314391562527
gyroY_kurtosis,0.0014466833118552493
filteredMag_jerk_mean,0.0014032943738613267
accelMag_median,0.001326664302404197
