feature,importance
filteredZ_rms,0.09601795454904495
accelZ_energy,0.08355621593930498
gyroY_jerk_rms,0.07359495596210999
accelZ_p25,0.07044367487301466
avg_sample_rate,0.05249327611759566
accelZ_peak_value,0.04214840705669439
filteredZ_range,0.03744957126703674
gyroY_range,0.0369378979954076
gyroY_energy,0.030348480263611737
filteredMag_range,0.02006688641241579
filteredMag_iqr,0.020066504868584124
accelZ_iqr,0.01957207667740881
accelMag_min,0.017611468041389612
accelMag_jerk_rms,0.017056890993989562
gyroZ_jerk_rms,0.01660024181056774
filteredMag_max,0.016146150119163552
accelX_jerk_rms,0.01484372145516587
gyroX_energy,0.014048954723710996
filteredY_iqr,0.013167061668146069
filteredMag_p75,0.012179071864235978
gyroY_iqr,0.011137626072798053
accelZ_range,0.010645713487214712
filteredMag_p25,0.010594011163409333
rep_duration_ms,0.0103490996183137
filteredY_range,0.010307137381368334
gyroY_p25,0.009891915025620555
filteredMag_rms,0.009574180426601102
filteredMag_min,0.009362834493901783
filteredMag_median,0.008992643440350537
accelY_jerk_max,0.008856866875145385
gyroX_iqr,0.008644309313436018
accelMag_range,0.00862493436006564
accelY_max,0.008513262798209052
gyroZ_energy,0.008473019159415158
accelX_p25,0.008361607649228772
accelMag_peak_position,0.008293199167451802
filteredX_range,0.008281530390294412
filteredMag_kurtosis,0.0082085657346638
accelMag_skew,0.008002117712909323
accelY_skew,0.007884875551338814
accelY_energy,0.007840923361161404
accelMag_max,0.00731764435035559
filteredY_kurtosis,0.007279775270710854
filteredMag_peak_position,0.0070795612845885765
accelY_min,0.006774998776340115
accelY_p75,0.00658396440079195
accelMag_p75,0.006397199942938583
gyroX_p25,0.00631696499343638
accelMag_rms,0.006027580859421766
gyroX_max,0.005665176744363545
accelMag_iqr,0.005604299511153996
gyroY_kurtosis,0.005584169369923376
accelX_range,0.005463998039360248
gyroY_p75,0.004881301644215965
accelY_kurtosis,0.0047373766124703225
gyroZ_max,0.004632011648459916
gyroX_p75,0.0038308135207524028
accelX_peak_position,0.0037947609371385338
filteredY_skew,0.003696344203971444
gyroX_mean,0.003142222048109861
