feature,importance
gyroY_jerk_std,0.048707856177422335
gyroX_energy,0.043797014491677035
filteredZ_range,0.04027173303256895
gyroX_rms,0.039258981564070816
ldlj,0.03915250157547176
accelZ_rms,0.03599289613497108
accelZ_energy,0.034103181448277994
gyroZ_jerk_rms,0.03288748324682301
accelZ_p25,0.03140497086790052
gyroX_peak_value,0.02925775606148425
accelZ_p75,0.029063087566814538
accelZ_min,0.025350644773681884
gyroY_energy,0.025097154489305898
gyroX_jerk_rms,0.024899288220565814
accelX_jerk_rms,0.021151799776685656
filteredMag_p25,0.019937411642992144
rep_duration_ms,0.019607753665285495
filteredMag_max,0.019558544679328334
accelX_range,0.019410967115470634
filteredMag_iqr,0.019061764472726096
filteredMag_range,0.017844830684753784
gyroZ_energy,0.016713797417075564
gyroY_peak_value,0.015466777017371475
accelX_p75,0.014946054680116063
filteredX_range,0.014851013332312715
accelZ_range,0.013628427180055332
filteredY_range,0.013073325163347561
avg_sample_rate,0.012889387015496839
filteredMag_min,0.012137175558286955
accelX_iqr,0.011981932169421526
filteredMag_skew,0.011492327759033935
filteredY_rms,0.011280687297124094
accelZ_jerk_rms,0.01123835742078841
filteredX_rms,0.011197265470041481
accelZ_iqr,0.009689959677814592
gyroZ_rms,0.009582539821986579
gyroY_iqr,0.009565612801380215
accelX_energy,0.009350870134362588
accelMag_range,0.009312343878766925
accelMag_std,0.009186013793680751
filteredY_skew,0.009063955668816348
accelY_p25,0.008823308026469035
accelMag_jerk_rms,0.00873934763274407
gyroZ_kurtosis,0.008675684514379169
accelY_energy,0.00857843107649137
filteredMag_kurtosis,0.00857649031616867
accelMag_max,0.008528608888251585
filteredX_iqr,0.00831462273702113
filteredMag_median,0.00816596022032576
filteredMag_p75,0.008141480630240542
filteredY_iqr,0.00796889118512926
gyroX_p75,0.007899086878162402
gyroX_iqr,0.007684575543680071
accelY_std,0.007420450424940478
gyroX_p25,0.007353372411113395
gyroZ_max,0.007152009283522148
gyroY_p75,0.006679089177046423
accelMag_p75,0.006582753519478959
accelMag_peak_position,0.006329766987524897
accelMag_rms,0.005920625601752728
