participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,quality_code
1,1,0,0,0.0,0,-3.51,8.85,1.04,9.5773,0.0349,0.0164,0.4767,20.31,83.5,57.81,-2.5784,9.1839,0.8728,9.5789,1
1,1,0,0,0.12,120,-3.0,9.14,1.01,9.6726,-0.06,0.0949,0.0545,18.5,83.56,59.19,-2.634,9.1782,0.8909,9.5901,1
1,1,0,0,0.241,241,-3.16,9.23,0.97,9.804,-0.0033,0.1047,-0.0218,18.69,83.63,58.31,-2.7033,9.185,0.9013,9.6169,1
1,1,0,0,0.363,363,-2.86,9.2,1.06,9.6924,0.0142,0.0175,0.1963,17.94,83.44,58.69,-2.724,9.187,0.9222,9.6266,1
1,1,0,0,0.526,526,-2.9,9.4,0.92,9.8801,-0.0393,-0.0785,0.0502,16.88,83.81,60.0,-2.7472,9.215,0.9219,9.6599,1
1,1,0,0,0.65,650,-2.88,9.27,1.0,9.7584,0.0578,-0.0665,0.048,16.5,83.81,61.0,-2.7647,9.2223,0.9322,9.6728,1
1,1,0,0,0.77,770,-2.96,9.16,1.03,9.6813,-0.0305,-0.0513,-0.0578,16.5,83.81,61.38,-2.7904,9.2141,0.9451,9.6736,1
1,1,0,0,0.892,892,-3.06,9.24,0.96,9.7807,-0.0284,0.0109,-0.0971,17.13,84.13,60.81,-2.8259,9.2175,0.9471,9.6874,1
1,1,0,0,1.013,1013,-3.16,9.2,1.04,9.783,-0.0327,0.0665,-0.0873,17.63,84.19,59.94,-2.8699,9.2152,0.9593,9.6993,1
1,1,0,0,1.134,1134,-3.5,9.34,1.1,10.0347,-0.0011,0.0447,-0.3905,19.13,84.06,57.94,-2.953,9.2316,0.9778,9.7416,1
1,1,0,0,1.255,1255,-4.85,9.08,1.17,10.3604,0.1134,-0.0142,-0.9512,24.06,83.44,53.0,-3.203,9.2117,1.0032,9.8041,1
1,1,0,0,1.375,1375,-5.94,8.46,1.18,10.4042,0.1593,0.12,-1.1956,31.13,81.75,46.38,-3.5636,9.1126,1.0265,9.8383,1
1,1,0,0,1.542,1542,-7.52,7.32,1.61,10.6172,0.1614,0.3796,-1.5719,42.5,76.81,34.06,-4.085,8.8764,1.1034,9.8333,1
1,1,0,0,1.663,1663,-8.24,5.76,2.2,10.2915,0.2782,0.5694,-1.9068,53.63,67.0,20.69,-4.6325,8.4657,1.2479,9.7307,1
1,1,0,0,1.784,1784,-8.67,4.2,2.56,9.9681,0.3316,0.2923,-1.9373,63.19,49.63,7.88,-5.1645,7.9036,1.4208,9.5477,1
1,1,0,0,1.905,1905,-9.17,2.16,2.57,9.7652,0.5149,0.0807,-1.873,69.94,21.44,358.0,-5.6924,7.1467,1.5722,9.271,1
1,1,0,0,2.026,2026,-8.99,-0.31,2.76,9.4092,0.4516,0.0851,-1.8806,69.94,-17.19,349.0,-6.1269,6.1641,1.7287,8.8614,1
1,1,0,0,2.147,2147,-7.95,-2.15,2.8,8.6986,0.3872,0.1124,-1.8217,63.44,-42.81,339.94,-6.3671,5.0685,1.8699,8.3503,1
1,1,0,0,2.268,2268,-7.3,-3.5,2.7,8.534,0.4309,0.0862,-1.2337,54.56,-56.25,331.69,-6.4901,3.9394,1.9793,7.8459,1
1,1,0,0,2.394,2394,-6.25,-6.1,2.63,9.1208,0.48,-0.0862,-1.4955,47.38,-65.06,325.56,-6.4584,2.6165,2.065,7.2679,1
1,1,0,0,2.557,2557,-4.26,-7.6,2.14,8.9715,0.1538,-0.0796,-1.2294,34.56,-73.13,312.19,-6.1687,1.2702,2.0749,6.6311,1
1,1,0,0,2.677,2677,-3.75,-7.08,2.43,8.3722,-0.1625,0.3676,0.0665,30.06,-72.88,308.13,-5.85,0.1699,2.1217,6.2252,1
1,1,0,0,2.798,2798,-3.91,-7.17,2.42,8.5178,-0.1189,0.6327,1.5686,35.0,-68.81,316.75,-5.5944,-0.7973,2.161,6.05,1
1,2,0,0,2.919,2919,-6.51,-4.84,2.54,8.5004,-0.4974,0.4625,2.1457,45.56,-58.44,331.13,-5.715,-1.3301,2.211,6.2705,1
1,2,0,0,3.042,3042,-7.1,-3.55,3.29,8.5928,-0.54,-0.0458,1.8315,54.69,-44.31,342.69,-5.8975,-1.6226,2.3531,6.5537,1
1,2,0,0,3.164,3164,-8.56,-0.27,2.8,9.0104,-0.6807,-0.4112,1.9231,63.19,-25.56,351.44,-6.2484,-1.4444,2.412,6.8517,1
1,2,0,0,3.287,3287,-9.59,1.93,3.25,10.308,-0.5356,-0.4112,1.7988,68.5,9.38,2.63,-6.6887,-0.9997,2.5225,7.2181,1
1,2,0,0,3.409,3409,-10.15,2.74,3.09,10.958,-0.4723,-0.3011,1.4268,67.0,35.88,10.38,-7.1448,-0.5069,2.5972,7.6191,1
1,2,0,0,3.571,3571,-9.37,4.8,2.78,10.8888,-0.3916,-0.0949,0.9785,58.81,58.81,20.38,-7.438,0.1924,2.6213,7.8888,1
1,2,0,0,3.691,3691,-8.19,4.74,2.36,9.7526,-0.3011,-0.0731,0.6752,54.69,65.38,24.06,-7.5371,0.7917,2.5869,8.0079,1
1,2,0,0,3.812,3812,-7.72,5.84,1.77,9.8406,-0.2345,-0.2062,0.7374,50.81,70.25,28.13,-7.5612,1.4569,2.4792,8.0896,1
1,2,0,0,3.933,3933,-7.27,6.49,1.53,9.8648,-0.2531,-0.2313,0.4658,47.44,75.19,31.94,-7.5229,2.1201,2.3542,8.1627,1
