participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
4,1,0,0,00.000,0,-6.1000,7.5800,0.6200,9.7494,0.0000,-0.0218,0.0196,38.50,84.94,336.13,-6.1129,7.5863,0.6531,9.7645
4,1,0,0,00.120,120,-6.1600,7.5700,0.6600,9.7819,0.0305,-0.0229,-0.0327,38.63,84.94,336.25,-6.1191,7.5841,0.6540,9.7668
4,1,0,0,00.286,286,-6.2900,7.6800,0.6600,9.9490,-0.0011,-0.0447,-0.0556,39.00,85.13,336.19,-6.1416,7.5967,0.6548,9.7908
4,1,0,0,00.409,409,-6.2900,7.6200,0.6700,9.9034,-0.0044,0.0098,0.0251,39.13,85.19,336.13,-6.1612,7.5998,0.6568,9.8056
4,1,0,0,00.529,529,-6.1100,7.5700,0.6000,9.7466,-0.0164,0.0196,0.0218,39.00,85.19,336.13,-6.1544,7.5959,0.6493,9.7978
4,1,0,0,00.650,650,-6.2200,7.6000,0.5400,9.8356,-0.0065,0.0229,-0.0513,39.00,85.06,336.00,-6.1631,7.5964,0.6349,9.8027
4,1,0,0,00.771,771,-6.2700,7.6000,0.5800,9.8696,-0.0153,-0.0087,-0.0349,39.19,85.00,335.69,-6.1772,7.5969,0.6277,9.8114
4,1,0,0,00.892,892,-6.1800,7.5700,0.6200,9.7919,-0.0175,-0.0065,-0.0164,39.31,85.13,335.50,-6.1775,7.5934,0.6267,9.8089
4,1,0,0,01.013,1013,-6.2000,7.5800,0.6400,9.8136,0.0011,0.0164,0.0600,39.31,85.19,335.50,-6.1805,7.5916,0.6284,9.8095
4,1,0,0,01.135,1135,-6.1000,7.7700,0.7500,9.9068,-0.0076,0.0535,0.1036,38.56,85.06,336.00,-6.1699,7.6151,0.6445,9.8221
4,1,0,0,01.301,1301,-5.8400,7.5900,0.6200,9.5968,0.0349,0.0404,0.0818,37.94,84.44,336.31,-6.1264,7.6118,0.6412,9.7920
4,1,0,0,01.422,1422,-5.5900,8.0000,0.8000,9.7922,0.0622,-0.0338,-0.0196,37.69,84.19,336.81,-6.0557,7.6630,0.6622,9.7893
4,1,0,0,01.542,1542,-5.4000,8.7200,1.3900,10.3504,-0.0589,0.1756,1.1094,34.94,83.56,339.25,-5.9693,7.8022,0.7581,9.8530
4,1,0,0,01.664,1664,-4.7300,10.5100,0.9700,11.5661,-0.3262,0.4145,1.4879,26.31,84.88,345.44,-5.8060,8.1591,0.7860,10.0448
4,1,0,0,01.784,1784,-2.1900,9.8200,1.7600,10.2140,-0.3392,0.4647,2.5929,12.94,85.25,354.63,-5.3295,8.3779,0.9143,9.9714
4,1,0,0,01.906,1906,0.8300,11.2500,-0.3200,11.2851,-0.2880,0.0284,2.6780,-7.00,88.63,13.69,-4.5178,8.7564,0.7517,9.8818
4,1,0,0,02.026,2026,1.9400,9.9500,0.3300,10.1427,0.8912,0.5498,0.6643,-17.38,86.25,21.25,-3.6669,8.9137,0.6961,9.6635
4,1,0,0,02.148,2148,4.4700,9.5100,0.8700,10.5441,1.7671,-0.9436,1.6090,-23.94,78.44,25.13,-2.5946,8.9923,0.7190,9.3867
4,1,0,0,02.314,2314,3.3500,5.6300,4.2400,7.8037,0.2476,-0.6076,1.5424,-31.69,59.44,39.63,-1.8113,8.5492,1.1830,8.8187
4,1,0,0,02.436,2436,5.6200,5.5900,2.9200,8.4474,-0.5880,0.8454,1.1290,-40.81,59.13,48.88,-0.8320,8.1593,1.4119,8.3222
4,1,0,0,02.556,2556,7.6200,5.8400,2.1400,9.8361,-0.7396,1.0352,1.0756,-50.13,66.63,55.31,0.2817,7.8536,1.5078,8.0020
4,1,0,0,02.677,2677,8.3900,5.5200,1.3500,10.1334,-0.5051,0.8083,0.8203,-57.88,76.81,61.00,1.3502,7.5461,1.4870,7.8089
4,1,0,0,02.798,2798,8.3400,4.3300,1.1200,9.4636,0.0196,0.0829,0.6632,-64.19,81.44,67.06,2.2713,7.1223,1.4387,7.6129
4,1,0,0,02.919,2919,8.3300,3.6300,1.2300,9.1694,0.5421,-0.0862,0.2356,-66.63,77.13,67.69,3.0697,6.6621,1.4112,7.4698
4,1,0,0,03.042,3042,7.4900,4.0500,1.7600,8.6948,0.3763,0.0229,0.0196,-67.63,72.06,66.38,3.6521,6.3179,1.4571,7.4416
4,1,0,0,03.167,3167,8.8400,2.3400,0.8500,9.1839,-0.0316,0.3742,1.0297,-72.94,72.38,69.94,4.3358,5.7937,1.3771,7.3663
4,1,0,0,03.329,3329,6.9200,0.0000,0.6500,6.9505,-0.0764,-0.0654,-1.0799,-75.31,74.75,72.06,4.6763,5.0303,1.2813,6.9866
4,2,0,0,03.450,3450,6.9700,3.3900,0.7200,7.7840,-0.3218,-0.2858,-1.8293,-64.69,79.38,63.13,4.9786,4.8141,1.2074,7.0299
4,2,0,0,03.571,3571,5.0700,6.9200,0.1900,8.5806,-0.4123,-0.2574,-2.4925,-49.81,83.06,50.50,4.9906,5.0916,1.0733,7.2099
4,2,0,0,03.695,3695,6.1400,8.7200,0.1100,10.6654,-0.3611,-0.3643,-1.8206,-36.81,85.25,40.75,5.1421,5.5697,0.9464,7.6393
4,2,0,0,03.819,3819,0.5100,9.3900,1.0000,9.4569,0.0055,-0.5781,-3.4285,-19.06,85.31,26.63,4.5317,6.0732,0.9534,7.6373
4,2,0,0,03.940,3940,-1.7200,9.9700,1.1500,10.1824,0.0578,-0.0098,-2.3180,-0.25,84.38,9.31,3.7079,6.5867,0.9793,7.6218
4,2,0,0,04.061,4061,-3.8200,10.5600,1.1700,11.2905,-0.2793,-0.3611,-2.4500,15.13,85.56,355.06,2.7159,7.1102,1.0045,7.6773
4,2,0,0,04.182,4182,-5.7900,9.1400,0.2200,10.8218,0.0513,-0.2585,-2.3922,29.13,87.19,342.75,1.5950,7.3777,0.9011,7.6018
4,2,0,0,04.346,4346,-7.6500,7.2800,0.8500,10.5945,0.6076,0.0665,-2.0693,46.94,82.25,327.13,0.3768,7.3648,0.8944,7.4285
