feature,importance
filteredMag_max,0.08799041995482024
ldlj,0.06936963395530722
filteredMag_range,0.06832074764278907
avg_sample_rate,0.058919223889598304
filteredMag_peak_position,0.03914600519439149
filteredMag_iqr,0.03553444213221853
accelZ_kurtosis,0.0343160658013749
filteredZ_kurtosis,0.02890280965750157
accelZ_range,0.0282250304090073
accelMag_peak_position,0.02671989222057461
filteredMag_kurtosis,0.024783796102136123
rep_duration_ms,0.02344813548333653
accelY_skew,0.02300585799685935
accelZ_skew,0.020959711912614237
accelMag_rms,0.02000477738990869
gyroX_peak_position,0.01859088357445023
gyroX_kurtosis,0.017647870616059165
filteredZ_skew,0.017455523253537608
filteredMag_p75,0.01725180695149769
accelMag_kurtosis,0.01544860797305174
accelZ_iqr,0.015442185463613547
accelZ_max,0.014307245940713266
accelX_p25,0.012392318341679363
accelMag_p25,0.012107697400717652
filteredZ_range,0.012005693744777205
accelZ_min,0.011605697778791293
filteredMag_skew,0.01157391706475343
filteredY_range,0.011216020605525418
gyroX_iqr,0.010832488872491797
accelZ_jerk_rms,0.010016285805293781
gyroX_rms,0.00952096172660152
accelMag_skew,0.009430245379574202
accelY_energy,0.009250112508504141
accelY_rms,0.008866933347170161
gyroX_jerk_rms,0.008267361136293519
gyroY_p75,0.008239791592109302
gyroY_mean,0.008214453331824146
accelX_p75,0.008061171195098946
accelX_diff_mean,0.008049390991027446
accelY_kurtosis,0.0079141093553748
accelY_iqr,0.007799719136470416
accelZ_p75,0.007744864744785857
accelY_peak_position,0.007725082398378911
filteredZ_iqr,0.007714907935608451
gyroY_jerk_rms,0.006609817331660692
accelX_min,0.006532639376155367
accelY_p75,0.006379129035364346
accelX_iqr,0.006284490458229254
filteredX_diff_mean,0.006012412222825637
accelY_range,0.005986848247559434
gyroX_range,0.005958923154857932
gyroX_p25,0.0058060001025508
gyroZ_p25,0.005622326994244278
accelMag_iqr,0.005103048777634023
gyroX_skew,0.004724137299659868
accelZ_peak_position,0.004545523231636334
accelMag_median,0.004421117625256996
accelY_min,0.0040816010764224715
accelY_max,0.003851655901053682
filteredMag_mean,0.003740431256675683
