feature,importance
filteredMag_diff_std,0.08920682172432812
filteredY_diff_max,0.05271110020067585
gyroX_jerk_rms,0.04641134629165881
filteredMag_max,0.04623628944521157
gyroY_energy,0.04294951367168339
accelMag_rms,0.042719089890591255
gyroY_rms,0.04101673236753652
gyroZ_jerk_rms,0.039111179761484594
accelY_diff_std,0.0388634180404287
accelY_max,0.036802985204871685
accelMag_range,0.0296964644512221
filteredMag_peak_position,0.02394841388139319
gyroY_max,0.023080467015631354
accelMag_jerk_rms,0.02094051792424466
accelZ_jerk_rms,0.019670171818969438
gyroY_jerk_rms,0.019358650547835577
accelZ_range,0.018533229339776046
accelY_rms,0.018325101729456034
accelY_jerk_rms,0.018212461791743132
accelZ_max,0.017897068555284
avg_sample_rate,0.016139603050957466
gyroX_rms,0.015473399921541805
filteredZ_range,0.014537629383019387
filteredMag_range,0.014420275556767257
gyroZ_kurtosis,0.013755314963248043
gyroZ_range,0.013294707391321483
gyroY_min,0.012432880423409546
accelZ_energy,0.010503956888585828
gyroX_max,0.009795659988534832
gyroY_iqr,0.009317406683853707
filteredY_peak_position,0.009062633530967939
accelX_jerk_rms,0.00903272284090588
gyroX_energy,0.008693870311962157
gyroZ_rms,0.00842368876658639
accelMag_peak_position,0.008022018436398548
gyroZ_iqr,0.008010128828385121
accelY_median,0.007999639062707472
gyroX_median,0.007655061606884356
filteredY_kurtosis,0.007496197393987016
gyroZ_diff_std,0.007436948815101192
gyroX_skew,0.007300200341502718
accelX_energy,0.006692060893586609
gyroY_p75,0.006269352039853135
accelZ_diff_mean,0.006262918101579514
filteredY_diff_mean,0.006063313315426799
accelY_peak_position,0.006031825559713294
filteredMag_jerk_mean,0.005931664946351688
filteredZ_diff_mean,0.005845030119644272
gyroX_range,0.005785701112317308
accelY_p75,0.005448907821550636
ldlj,0.005330006494190542
gyroZ_mean,0.00522897427719923
accelMag_kurtosis,0.005133808278227655
accelMag_median,0.0047819264497175
filteredMag_kurtosis,0.004526137724541079
accelZ_p75,0.004423627701669143
gyroX_peak_position,0.004196827482577429
gyroZ_min,0.003415832318936455
gyroX_min,0.002196870956950963
accelX_rms,0.001940246565312742
